block_num,trial_num,label,predict_probas
0,0,0,"[2.8401389476515446e-37, 0.0, 0.0, 1.8328241225182515e-39, 3.1461468951160176e-25, 1.540441265714452e-34, 6.0582612283692596e-37, 9.177524032402524e-41, 7.334948391786379e-31, 1.5862533411319889e-25, 1.2594683629352232e-10, 0.5407134294509888, 0.9999929666519165, 1.0, 1.0, 0.9999996423721313]"
0,1,1,"[1.0636063585423017e-08, 4.046589261828685e-16, 1.6306417430819183e-27, 1.5865259248077147e-35, 3.055489262506334e-40, 1.6675451725465323e-43, 0.0, 0.0, 0.0, 0.0, 2.013665893234762e-42, 2.4102333586386854e-43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.401298464324817e-45, 4.666176357499317e-37, 8.126152288585868e-28, 8.690098042801908e-23, 1.7285244053885983e-23, 1.0458178931649728e-22]"
0,2,0,"[3.098677442579833e-22, 7.809233640734839e-21, 8.192167658919821e-25, 1.1636542450993363e-29, 5.4955009773823595e-31, 1.5149288065219453e-31, 1.8756355935219254e-26, 1.0603237199256664e-24, 1.4510888597132513e-20, 1.187802352135836e-12, 1.2727697367154178e-06, 0.9997475147247314, 0.9996812343597412, 0.001862576580606401, 4.934954078729343e-25, 3.646178604173174e-42, 3.363116314379561e-44, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.075816838759727e-35, 1.331480614466482e-34, 3.657038919281207e-34, 1.1446467158273221e-33, 3.67465808385694e-29]"
0,3,1,"[4.2435525415532455e-20, 2.6231206334652313e-13, 1.0115355547537369e-13, 9.43826505665768e-13, 1.7990907801880823e-15, 5.746739078014419e-19, 4.895961277331938e-18, 3.475868520484986e-15, 2.1634866749671577e-13, 1.516358844044774e-10, 1.461014775827607e-08, 4.017352561724863e-10, 2.203186886617914e-05, 0.00032330138492397964, 5.0285389185944496e-09, 1.8092150639859028e-06, 3.934435153496452e-05, 4.3022685414229045e-10, 1.90491709872731e-06, 1.1006719979889112e-08, 4.0326835620829726e-11, 2.7200911745239864e-07, 0.00023449110449291766, 2.3685245764681895e-07, 3.5781440601567738e-06, 1.9026845876624066e-08, 1.1336562758142415e-14, 1.212490712182207e-15]"
0,4,0,"[4.1450037565982206e-24, 1.4788777362330571e-24, 3.277785534319877e-23, 3.60416189670673e-19, 3.839789981059171e-19, 8.678466474100477e-14, 2.3480799526964802e-08, 0.1133507564663887, 0.9999756813049316, 0.9999991059303284, 0.99997478723526, 0.9608045220375061, 0.02058355137705803, 0.00011344689119141549, 1.5127001233850024e-06, 1.032452203730827e-07, 9.927643986884505e-07, 2.1424794738322817e-07, 2.3119004974314628e-11, 1.8804896875779242e-12, 1.1963718210550311e-11, 8.700133495576079e-12, 2.7795912238559595e-09, 2.4867404135875404e-08, 7.344164165701272e-10, 1.6395884649966774e-10, 1.0023236407530334e-10, 1.3098207241046822e-10]"
0,5,1,"[2.5594673047635297e-08, 2.47718446644285e-07, 4.224975092004257e-10, 1.3343511191810098e-11, 3.383527317915927e-14, 1.89456349003292e-16, 1.3933439195938044e-16, 6.400822179864344e-17, 1.0600183992009096e-22, 1.27828709737388e-25, 2.531905119868219e-27, 6.878618167081911e-28, 2.2318206211479984e-26, 6.140772546082292e-27, 1.0813397284423274e-28, 4.5866443628053967e-32, 2.2740551677771487e-33, 1.0793446490562102e-36, 1.8216880036222622e-44, 0.0, 0.0, 0.0, 7.006492321624085e-45, 0.0, 0.0, 0.0]"
0,6,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,7,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,8,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,9,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
